"sub_region_1","Mean_retail_and_recreation_percent_change_from_baseline","Mean_grocery_and_pharmacy_percent_change_from_baseline","Mean_parks_percent_change_from_baseline","Mean_transit_stations_percent_change_from_baseline","Mean_workplaces_percent_change_from_baseline","Mean_residential_percent_change_from_baseline","retail_mean","grocery_mean","parks_mean","transit_mean","workplace_mean","residential_mean","SD_retail_and_recreation_percent_change_from_baseline","SD_grocery_and_pharmacy_percent_change_from_baseline","SD_parks_percent_change_from_baseline","SD_transit_stations_percent_change_from_baseline","SD_workplaces_percent_change_from_baseline","SD_residential_percent_change_from_baseline","retail_sd","grocery_sd","parks_sd","transit_sd","workplace_sd","residential_sd"
"North Dakota",-12.2111111111111,-13.8,-8.03333333333333,-20.4222222222222,-16.7333333333333,6.42222222222222,"HIGH","LOW","AVG","AVG","HIGH","LOW",7.97255748858946,5.41159803185962,19.003518302282,8.78197563933297,7.7166098395429,3.37864336106941,"LOW","LOW","LOW","AVG","LOW","LOW"
"Ohio",-16.5222222222222,-9.08888888888889,15.9333333333333,-20.5888888888889,-23.1222222222222,8.38888888888889,"AVG","AVG","HIGH","AVG","AVG","AVG",10.3849802710916,7.52321417750082,44.2342589281357,9.33507875600276,10.687415447096,4.21259333092874,"AVG","AVG","HIGH","AVG","AVG","AVG"
"Oklahoma",-10.8111111111111,-5.01111111111111,-8.28888888888889,-5.42222222222222,-23.0666666666667,7.72222222222222,"HIGH","HIGH","AVG","HIGH","AVG","AVG",15.2719868720878,10.8498376153586,31.4039446618509,15.411930135835,14.1649988002554,5.96813218250193,"HIGH","HIGH","AVG","HIGH","HIGH","HIGH"
"Oregon",-21.9333333333333,-8.83333333333333,12.4777777777778,-34.7333333333333,-31.7555555555556,9.57777777777778,"AVG","AVG","HIGH","AVG","LOW","AVG",9.89926793343717,5.38046821403558,28.7332668560281,8.98413082838696,11.3764107519904,3.69323030183902,"AVG","LOW","AVG","AVG","AVG","AVG"
"Pennsylvania",-21.6555555555556,-10.8444444444444,-7.92222222222222,-38.4666666666667,-28.2111111111111,10.5111111111111,"AVG","AVG","AVG","AVG","AVG","AVG",11.7101330470676,9.48791201513754,34.1951530101601,8.8852864110698,12.2689838635355,4.87885703239722,"HIGH","HIGH","HIGH","AVG","HIGH","HIGH"
"Rhode Island",-22.5333333333333,-12.6222222222222,21.8555555555556,-45.4777777777778,-28.2,10.1444444444444,"LOW","LOW","HIGH","LOW","AVG","AVG",8.69870195663336,6.73841540699692,45.4877588450351,9.74763327976612,10.9145815259972,4.06564425042775,"AVG","AVG","HIGH","AVG","AVG","AVG"
"South Carolina",-9.8,-5.1,-4.53333333333333,-8.77777777777778,-21.1666666666667,6.75555555555556,"HIGH","HIGH","AVG","HIGH","HIGH","LOW",9.20332133501301,5.95309380429173,24.8633117195381,12.0287836232796,8.11054245266027,3.17755863854206,"AVG","LOW","AVG","HIGH","LOW","LOW"
"South Dakota",-6.16666666666667,3.67777777777778,13.8222222222222,-3.63333333333333,-14.1777777777778,5.88888888888889,"HIGH","HIGH","HIGH","HIGH","HIGH","LOW",9.94846270095835,8.37442304271626,32.297972864965,12.0629901076424,8.27012734135317,3.46554288901544,"AVG","AVG","AVG","HIGH","LOW","LOW"
"Tennessee",-13.5111111111111,-6.27777777777778,3.4,-18.1444444444444,-23.5333333333333,7.91111111111111,"AVG","AVG","AVG","AVG","AVG","AVG",11.9636569927093,8.04066599312419,30.266902604304,11.9911588321283,11.7952570929014,5.21588852771827,"HIGH","AVG","AVG","HIGH","AVG","HIGH"
"Texas",-17.6555555555556,-10.8222222222222,-19.1666666666667,-26.5444444444444,-29.4888888888889,9.6,"AVG","AVG","LOW","AVG","AVG","AVG",12.607435928813,7.37377341203843,21.4901336128147,11.4814565797859,15.035721095575,5.30592206772433,"HIGH","AVG","AVG","AVG","HIGH","HIGH"
"Utah",-13.2555555555556,-5.78888888888889,14.4333333333333,-29.6888888888889,-25.9888888888889,8.35555555555556,"AVG","HIGH","HIGH","AVG","AVG","AVG",7.66952397496069,5.96524474091183,26.0574344024973,8.53498345468726,9.40654140603605,3.27507135563782,"LOW","LOW","AVG","AVG","LOW","LOW"
"Vermont",-23.4777777777778,-11.8,-0.888888888888889,-45.9222222222222,-26.6777777777778,11,"LOW","LOW","AVG","LOW","AVG","HIGH",8.41377652755767,7.31966721168986,21.732513024201,6.79925273121035,8.87722471281131,3.74165738677394,"LOW","AVG","AVG","LOW","LOW","AVG"
"Virginia",-21.6666666666667,-9.68888888888889,-0.411111111111111,-36.7555555555556,-30.3333333333333,11.4777777777778,"AVG","AVG","AVG","AVG","LOW","HIGH",9.53880307192385,8.45296895444547,29.3743350656541,8.85756340441157,12.2198953635712,4.74336385113136,"AVG","AVG","AVG","AVG","HIGH","AVG"
"Washington",-23.5555555555556,-12,8.14444444444444,-46.3555555555556,-33.8111111111111,11.1666666666667,"LOW","LOW","AVG","LOW","LOW","HIGH",9.21541345754536,5.36949352119521,28.0827673622383,7.77826287055122,12.169121398256,3.97817077268299,"AVG","LOW","AVG","LOW","HIGH","AVG"
"West Virginia",-13.2333333333333,-5.58888888888889,-0.8,-14.2444444444444,-21.3666666666667,7.22222222222222,"AVG","HIGH","AVG","HIGH","HIGH","LOW",12.6322665148963,9.22976918460038,25.5572501202274,12.6990321767927,9.73404773941747,4.0133982848403,"HIGH","HIGH","AVG","HIGH","AVG","AVG"
"Wisconsin",-19.6,-7.17777777777778,8.74444444444444,-24.7,-20.6333333333333,8.91111111111111,"AVG","AVG","HIGH","AVG","HIGH","AVG",9.20649502046233,7.24774707773881,28.4121200246414,8.16466764496933,10.9692624684216,3.89653964736286,"AVG","AVG","AVG","LOW","AVG","AVG"
"Wyoming",-15.1666666666667,-7.71111111111111,-6.45555555555556,-5.8,-17.4888888888889,5.78888888888889,"AVG","AVG","AVG","HIGH","HIGH","LOW",9.1801569103625,7.02202705207691,14.9802575030081,14.7786666774796,9.01215713798037,3.24121784728873,"AVG","AVG","LOW","HIGH","LOW","LOW"
