"sub_region_1","retail_and_recreation_percent_change_from_baseline_2021-01","retail_and_recreation_percent_change_from_baseline_2021-02","retail_and_recreation_percent_change_from_baseline_2021-03","grocery_and_pharmacy_percent_change_from_baseline_2021-01","grocery_and_pharmacy_percent_change_from_baseline_2021-02","grocery_and_pharmacy_percent_change_from_baseline_2021-03","parks_percent_change_from_baseline_2021-01","parks_percent_change_from_baseline_2021-02","parks_percent_change_from_baseline_2021-03","transit_stations_percent_change_from_baseline_2021-01","transit_stations_percent_change_from_baseline_2021-02","transit_stations_percent_change_from_baseline_2021-03","workplaces_percent_change_from_baseline_2021-01","workplaces_percent_change_from_baseline_2021-02","workplaces_percent_change_from_baseline_2021-03","residential_percent_change_from_baseline_2021-01","residential_percent_change_from_baseline_2021-02","residential_percent_change_from_baseline_2021-03","JF_change_retail","FM_change_retail","retail_pattern","JF_change_grocery","FM_change_grocery","grocery_pattern","JF_change_parks","FM_change_parks","parks_pattern","JF_change_transit","FM_change_transit","transit_pattern","JF_change_workplace","FM_change_workplace","workplaces_pattern","JF_change_residential","FM_change_residential","residential_pattern"
"Maryland",-29.3548387096774,-29.0714285714286,-16.258064516129,-16.7096774193548,-17.25,-8.16129032258065,-14.1290322580645,-27,28.8709677419355,-48.741935483871,-47.7857142857143,-38.1935483870968,-35.3548387096774,-36.0357142857143,-31.6774193548387,14.8387096774194,15.1785714285714,10.8709677419355,"Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"Massachusetts",-33.2903225806452,-31.8928571428571,-21.258064516129,-19.2258064516129,-17.9642857142857,-12.6451612903226,-19.3870967741935,-25.3214285714286,7.80645161290323,-59.4193548387097,-57.8214285714286,-52.2258064516129,-35.8064516129032,-35.3928571428571,-32.3225806451613,14.7096774193548,14.1071428571429,11.1612903225806,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Michigan",-32.3225806451613,-24.3571428571429,-10.6129032258065,-15.0322580645161,-12.6071428571429,-5.54838709677419,0.032258064516129,-1.96428571428571,43.0645161290323,-37.8709677419355,-33.25,-21.4838709677419,-27.7096774193548,-25.3928571428571,-23.7096774193548,11.6451612903226,10.0714285714286,7.61290322580645,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Minnesota",-27.8387096774194,-23.9642857142857,-12.0645161290323,-16.3870967741935,-14.1785714285714,-6.70967741935484,-2.06451612903226,-16.8928571428571,15.0322580645161,-47.4193548387097,-43.1428571428571,-30.0645161290323,-29.1935483870968,-26.7142857142857,-25.3225806451613,12.8064516129032,11.6071428571429,9.38709677419355,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Mississippi",-14.3870967741935,-18.25,2.80645161290323,-10.6451612903226,-11.5357142857143,-1.48387096774194,-14.0967741935484,-21.7857142857143,5.54838709677419,-3.45161290322581,-4.89285714285714,17.1935483870968,-21.4193548387097,-25.8571428571429,-18.4193548387097,7.32258064516129,9.25,3.29032258064516,"Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"Missouri",-18.4838709677419,-19.4642857142857,1.61290322580645,-10.9354838709677,-9.60714285714286,1.16129032258065,-16.0967741935484,-17.9642857142857,36.258064516129,-22.2258064516129,-21.8214285714286,-2.83870967741935,-22.7096774193548,-24.0357142857143,-19.1290322580645,9,9.64285714285714,4.41935483870968,"Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"Montana",-13.1935483870968,-12.8214285714286,3.67741935483871,-5.54838709677419,-2.71428571428571,7.54838709677419,-4.12903225806452,-14.1785714285714,22.8709677419355,-11.4838709677419,-8.75,10.0645161290323,-16.5483870967742,-15.4642857142857,-14.6774193548387,6.70967741935484,6.5,3.38709677419355,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Nebraska",-18.8387096774194,-16.8571428571429,-0.354838709677419,-10.8709677419355,-8.46428571428571,-0.129032258064516,-18.4516129032258,-21.8214285714286,31.9677419354839,-23.3548387096774,-21.1785714285714,-3.54838709677419,-22.3870967741935,-19.5,-18,9.96774193548387,8.42857142857143,5.16129032258065,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Nevada",-25.2258064516129,-19.8571428571429,-9.90322580645161,-14.3548387096774,-9.07142857142857,-3.64516129032258,-35.0322580645161,-27.0714285714286,-14.3225806451613,-44.0645161290323,-39,-26.6451612903226,-32.2903225806452,-29.1785714285714,-27.9032258064516,11.1935483870968,9.28571428571429,7.38709677419355,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"New Hampshire",-21.6774193548387,-20.1428571428571,-8.38709677419355,-11.1935483870968,-8.85714285714286,-3.09677419354839,1.35483870967742,4.25,25.6129032258065,-34.4193548387097,-31.6071428571429,-23.9354838709677,-25.2903225806452,-24.5357142857143,-21.4516129032258,11.741935483871,11.0357142857143,8.41935483870968,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
